,accuracy,per_class_accuracy,per_class_precision
0,0.9001,0.9501941583656931,0.9442953020134228
1,0.9001,0.962770691189558,0.9300759421120505
2,0.9001,0.887881839543471,0.9013460555460896
3,0.9001,0.8778339585711956,0.8689053923151436
4,0.9001,0.875556316330024,0.8951697584879243
5,0.9001,0.8618336100350489,0.8917732391677801
6,0.9001,0.9395065900642109,0.9317915200268141
7,0.9001,0.915243415802075,0.9184686849271184
8,0.9001,0.8540420440950265,0.8797535211267605
9,0.9001,0.8635064716759119,0.8346060113728676
