Sample,Expert,Probability,Label,Epoch,Batch
Sample_1,Expert_1,0.0005224995547905564,3,7,0
Sample_1,Expert_2,0.05072617530822754,3,7,0
Sample_1,Expert_3,0.013258310034871101,3,7,0
Sample_1,Expert_4,0.935492992401123,3,7,0
Sample_2,Expert_1,0.939314603805542,4,7,0
Sample_2,Expert_2,0.013975252397358418,4,7,0
Sample_2,Expert_3,0.046126481145620346,4,7,0
Sample_2,Expert_4,0.0005837709177285433,4,7,0
Sample_3,Expert_1,0.7545899748802185,4,7,0
Sample_3,Expert_2,0.13124167919158936,4,7,0
Sample_3,Expert_3,0.04544095695018768,4,7,0
Sample_3,Expert_4,0.06872729957103729,4,7,0
Sample_4,Expert_1,0.003448858857154846,3,7,0
Sample_4,Expert_2,0.05522419139742851,3,7,0
Sample_4,Expert_3,0.08854053914546967,3,7,0
Sample_4,Expert_4,0.8527863621711731,3,7,0
Sample_5,Expert_1,0.006669432390481234,2,7,0
Sample_5,Expert_2,0.02774737775325775,2,7,0
Sample_5,Expert_3,0.2962191700935364,2,7,0
Sample_5,Expert_4,0.6693640351295471,2,7,0
Sample_6,Expert_1,0.6478727459907532,7,7,0
Sample_6,Expert_2,0.12030652910470963,7,7,0
Sample_6,Expert_3,0.11683778464794159,7,7,0
Sample_6,Expert_4,0.11498289555311203,7,7,0
Sample_7,Expert_1,0.00791832897812128,3,7,0
Sample_7,Expert_2,0.14947664737701416,3,7,0
Sample_7,Expert_3,0.11617536097764969,3,7,0
Sample_7,Expert_4,0.7264297008514404,3,7,0
Sample_8,Expert_1,0.11668255925178528,6,7,0
Sample_8,Expert_2,0.3194330036640167,6,7,0
Sample_8,Expert_3,0.4384797513484955,6,7,0
Sample_8,Expert_4,0.12540465593338013,6,7,0
Sample_9,Expert_1,0.05225007236003876,1,7,0
Sample_9,Expert_2,0.020615464076399803,1,7,0
Sample_9,Expert_3,0.8756576776504517,1,7,0
Sample_9,Expert_4,0.05147683992981911,1,7,0
Sample_10,Expert_1,0.006784738972783089,2,7,0
Sample_10,Expert_2,0.013818497769534588,2,7,0
Sample_10,Expert_3,0.3135896921157837,2,7,0
Sample_10,Expert_4,0.6658071279525757,2,7,0
Sample_11,Expert_1,0.005775755271315575,3,7,0
Sample_11,Expert_2,0.21134494245052338,3,7,0
Sample_11,Expert_3,0.03151629865169525,3,7,0
Sample_11,Expert_4,0.7513629794120789,3,7,0
Sample_12,Expert_1,0.036985717713832855,1,7,0
Sample_12,Expert_2,0.20215080678462982,1,7,0
Sample_12,Expert_3,0.6400085687637329,1,7,0
Sample_12,Expert_4,0.12085483968257904,1,7,0
Sample_13,Expert_1,0.24593819677829742,5,7,0
Sample_13,Expert_2,0.40058839321136475,5,7,0
Sample_13,Expert_3,0.3418477773666382,5,7,0
Sample_13,Expert_4,0.01162564568221569,5,7,0
Sample_14,Expert_1,0.4905704855918884,9,7,0
Sample_14,Expert_2,0.2572598159313202,9,7,0
Sample_14,Expert_3,0.13851459324359894,9,7,0
Sample_14,Expert_4,0.11365514993667603,9,7,0
Sample_15,Expert_1,0.08842281997203827,8,7,0
Sample_15,Expert_2,0.14504657685756683,8,7,0
Sample_15,Expert_3,0.06379001587629318,8,7,0
Sample_15,Expert_4,0.7027406096458435,8,7,0
Sample_16,Expert_1,0.1727486103773117,1,7,0
Sample_16,Expert_2,0.0652344599366188,1,7,0
Sample_16,Expert_3,0.707655131816864,1,7,0
Sample_16,Expert_4,0.054361823946237564,1,7,0
Sample_17,Expert_1,0.0001906660763779655,5,7,0
Sample_17,Expert_2,0.9010277390480042,5,7,0
Sample_17,Expert_3,0.08305508643388748,5,7,0
Sample_17,Expert_4,0.015726495534181595,5,7,0
Sample_18,Expert_1,0.042238879948854446,0,7,0
Sample_18,Expert_2,0.5505260229110718,0,7,0
Sample_18,Expert_3,0.08180657774209976,0,7,0
Sample_18,Expert_4,0.3254285156726837,0,7,0
Sample_19,Expert_1,0.200201153755188,8,7,0
Sample_19,Expert_2,0.08381955325603485,8,7,0
Sample_19,Expert_3,0.23501649498939514,8,7,0
Sample_19,Expert_4,0.480962872505188,8,7,0
Sample_20,Expert_1,0.24708621203899384,7,7,0
Sample_20,Expert_2,0.14927810430526733,7,7,0
Sample_20,Expert_3,0.09075220674276352,7,7,0
Sample_20,Expert_4,0.5128835439682007,7,7,0
Sample_21,Expert_1,0.02114269882440567,8,7,0
Sample_21,Expert_2,0.1075931191444397,8,7,0
Sample_21,Expert_3,0.05878428369760513,8,7,0
Sample_21,Expert_4,0.8124799132347107,8,7,0
Sample_22,Expert_1,0.6816459894180298,4,7,0
Sample_22,Expert_2,0.028477083891630173,4,7,0
Sample_22,Expert_3,0.27209794521331787,4,7,0
Sample_22,Expert_4,0.017779003828763962,4,7,0
Sample_23,Expert_1,0.006777901668101549,3,7,0
Sample_23,Expert_2,0.12359265983104706,3,7,0
Sample_23,Expert_3,0.46038395166397095,3,7,0
Sample_23,Expert_4,0.40924546122550964,3,7,0
Sample_24,Expert_1,0.8375093936920166,7,7,0
Sample_24,Expert_2,0.05810023844242096,7,7,0
Sample_24,Expert_3,0.01238448079675436,7,7,0
Sample_24,Expert_4,0.0920058935880661,7,7,0
Sample_25,Expert_1,0.6095110774040222,7,7,0
Sample_25,Expert_2,0.17286735773086548,7,7,0
Sample_25,Expert_3,0.08326566964387894,7,7,0
Sample_25,Expert_4,0.1343558430671692,7,7,0
Sample_26,Expert_1,0.06694298982620239,6,7,0
Sample_26,Expert_2,0.7382639050483704,6,7,0
Sample_26,Expert_3,0.11557432264089584,6,7,0
Sample_26,Expert_4,0.07921876758337021,6,7,0
Sample_27,Expert_1,0.09903580695390701,6,7,0
Sample_27,Expert_2,0.3170429766178131,6,7,0
Sample_27,Expert_3,0.2915125787258148,6,7,0
Sample_27,Expert_4,0.29240861535072327,6,7,0
Sample_28,Expert_1,0.03657790645956993,8,7,0
Sample_28,Expert_2,0.12917916476726532,8,7,0
Sample_28,Expert_3,0.04161541163921356,8,7,0
Sample_28,Expert_4,0.7926274538040161,8,7,0
Sample_29,Expert_1,0.6468821167945862,9,7,0
Sample_29,Expert_2,0.06979493796825409,9,7,0
Sample_29,Expert_3,0.03373299166560173,9,7,0
Sample_29,Expert_4,0.24959002435207367,9,7,0
Sample_30,Expert_1,0.45258310437202454,4,7,0
Sample_30,Expert_2,0.2694048583507538,4,7,0
Sample_30,Expert_3,0.11584934592247009,4,7,0
Sample_30,Expert_4,0.16216270625591278,4,7,0
Sample_31,Expert_1,0.0003310897445771843,5,7,0
Sample_31,Expert_2,0.940493643283844,5,7,0
Sample_31,Expert_3,0.029156416654586792,5,7,0
Sample_31,Expert_4,0.030018873512744904,5,7,0
Sample_32,Expert_1,0.00705326534807682,5,7,0
Sample_32,Expert_2,0.5933019518852234,5,7,0
Sample_32,Expert_3,0.026222795248031616,5,7,0
Sample_32,Expert_4,0.3734219968318939,5,7,0
Sample_33,Expert_1,0.5248714685440063,4,7,0
Sample_33,Expert_2,0.2770400941371918,4,7,0
Sample_33,Expert_3,0.04762217402458191,4,7,0
Sample_33,Expert_4,0.15046623349189758,4,7,0
Sample_34,Expert_1,0.031124284490942955,3,7,0
Sample_34,Expert_2,0.12916018068790436,3,7,0
Sample_34,Expert_3,0.5118382573127747,3,7,0
Sample_34,Expert_4,0.32787731289863586,3,7,0
Sample_35,Expert_1,0.5055884718894958,9,7,0
Sample_35,Expert_2,0.2112097144126892,9,7,0
Sample_35,Expert_3,0.008650427684187889,9,7,0
Sample_35,Expert_4,0.2745513617992401,9,7,0
Sample_36,Expert_1,0.6613258123397827,7,7,0
Sample_36,Expert_2,0.04453954100608826,7,7,0
Sample_36,Expert_3,0.10141831636428833,7,7,0
Sample_36,Expert_4,0.19271628558635712,7,7,0
Sample_37,Expert_1,0.8880412578582764,4,7,0
Sample_37,Expert_2,0.08551863580942154,4,7,0
Sample_37,Expert_3,0.0012481691082939506,4,7,0
Sample_37,Expert_4,0.025192007422447205,4,7,0
Sample_38,Expert_1,0.03956031799316406,8,7,0
Sample_38,Expert_2,0.0107621094211936,8,7,0
Sample_38,Expert_3,0.0017859764629974961,8,7,0
Sample_38,Expert_4,0.9478915333747864,8,7,0
Sample_39,Expert_1,0.012086315080523491,8,7,0
Sample_39,Expert_2,0.246256485581398,8,7,0
Sample_39,Expert_3,0.013723691925406456,8,7,0
Sample_39,Expert_4,0.7279334664344788,8,7,0
Sample_40,Expert_1,0.0590788833796978,2,7,0
Sample_40,Expert_2,0.04998919740319252,2,7,0
Sample_40,Expert_3,0.08609697222709656,2,7,0
Sample_40,Expert_4,0.8048349618911743,2,7,0
Sample_41,Expert_1,0.03473685309290886,3,7,0
Sample_41,Expert_2,0.038348667323589325,3,7,0
Sample_41,Expert_3,0.32004231214523315,3,7,0
Sample_41,Expert_4,0.6068721413612366,3,7,0
Sample_42,Expert_1,0.08848358690738678,1,7,0
Sample_42,Expert_2,0.043402574956417084,1,7,0
Sample_42,Expert_3,0.7755152583122253,1,7,0
Sample_42,Expert_4,0.09259859472513199,1,7,0
Sample_43,Expert_1,0.005876077804714441,0,7,0
Sample_43,Expert_2,0.5402866005897522,0,7,0
Sample_43,Expert_3,0.05234992131590843,0,7,0
Sample_43,Expert_4,0.4014873504638672,0,7,0
Sample_44,Expert_1,0.021350571885704994,6,7,0
Sample_44,Expert_2,0.22270281612873077,6,7,0
Sample_44,Expert_3,0.31449154019355774,6,7,0
Sample_44,Expert_4,0.44145503640174866,6,7,0
Sample_45,Expert_1,0.007213852368295193,8,7,0
Sample_45,Expert_2,0.1923275738954544,8,7,0
Sample_45,Expert_3,0.015045573934912682,8,7,0
Sample_45,Expert_4,0.7854129672050476,8,7,0
Sample_46,Expert_1,0.0544988214969635,6,7,0
Sample_46,Expert_2,0.42262279987335205,6,7,0
Sample_46,Expert_3,0.4109209477901459,6,7,0
Sample_46,Expert_4,0.1119573786854744,6,7,0
Sample_47,Expert_1,0.008784153498709202,5,7,0
Sample_47,Expert_2,0.8591330647468567,5,7,0
Sample_47,Expert_3,0.12132445722818375,5,7,0
Sample_47,Expert_4,0.0107582351192832,5,7,0
Sample_48,Expert_1,0.01647157594561577,3,7,0
Sample_48,Expert_2,0.1329508125782013,3,7,0
Sample_48,Expert_3,0.01686328835785389,3,7,0
Sample_48,Expert_4,0.8337143659591675,3,7,0
Sample_49,Expert_1,0.757740318775177,4,7,0
Sample_49,Expert_2,0.03281474858522415,4,7,0
Sample_49,Expert_3,0.1606966257095337,4,7,0
Sample_49,Expert_4,0.04874836653470993,4,7,0
Sample_50,Expert_1,0.0699710100889206,3,7,0
Sample_50,Expert_2,0.26908743381500244,3,7,0
Sample_50,Expert_3,0.38719913363456726,3,7,0
Sample_50,Expert_4,0.2737424373626709,3,7,0
Sample_51,Expert_1,0.026666410267353058,0,7,0
Sample_51,Expert_2,0.7613235116004944,0,7,0
