,accuracy,per_class_accuracy,per_class_precision
0,0.9873666666666666,0.993246665541111,0.9924089068825911
1,0.9873666666666666,0.9928804509047761,0.991556806399052
2,0.9873666666666666,0.9890902987579725,0.9884267024488427
3,0.9873666666666666,0.9838525526015331,0.9877190109710169
4,0.9873666666666666,0.9861348853132489,0.9881646655231561
5,0.9873666666666666,0.9841357683084302,0.9863190977999631
6,0.9873666666666666,0.9920581277458601,0.9895499747176808
7,0.9873666666666666,0.9862729449321628,0.9864303959131545
8,0.9873666666666666,0.9835925482823449,0.9835925482823449
9,0.9873666666666666,0.9815094973945201,0.9788767812238055
