,accuracy,per_class_accuracy,per_class_precision
0,0.9787333333333333,0.9897011649501941,0.9870348543525846
1,0.9787333333333333,0.9881340848412934,0.9878410438908659
2,0.9787333333333333,0.9796911715340718,0.9791981211206173
3,0.9787333333333333,0.9698254770836732,0.9757138168690516
4,0.9787333333333333,0.9774049982882574,0.9810996563573883
5,0.9787333333333333,0.9725142962553035,0.9748520710059172
6,0.9787333333333333,0.9864819195674214,0.9836562763268745
7,0.9787333333333333,0.9803671189146049,0.9797415855798373
8,0.9787333333333333,0.973679712869595,0.9718526100307062
9,0.9787333333333333,0.9678937636577576,0.9648123324396782
