,accuracy,per_class_accuracy,per_class_precision
0,0.98015,0.9891946648657775,0.9870283018867925
1,0.98015,0.9878374369623257,0.9882771924617896
2,0.98015,0.9801946962067808,0.9813476726600572
3,0.98015,0.973087587669222,0.9806048652202498
4,0.98015,0.9774049982882574,0.9799210571477605
5,0.98015,0.9762036524626453,0.97818853974122
6,0.98015,0.9886786076377154,0.9863452461227242
7,0.98015,0.9806863527533919,0.9814696485623003
8,0.98015,0.9762433772004786,0.970108695652174
9,0.98015,0.9707513867876955,0.9668508287292817
