,accuracy,per_class_accuracy,per_class_precision
0,0.9845,0.9929089988181665,0.9912354626664419
1,0.9845,0.99110056363097,0.990659747961453
2,0.9845,0.9857334676065794,0.9824355971896955
3,0.9845,0.9752079595498288,0.9806462194521895
4,0.9845,0.984594317014721,0.9861134921995542
5,0.9845,0.9804464121010884,0.9820768662232077
6,0.9845,0.9907063197026023,0.9892019571452674
7,0.9845,0.9861133280127694,0.9846987567739879
8,0.9845,0.9805161510852846,0.9806837606837607
9,0.9845,0.9766347285258027,0.9763065031087212
