,accuracy,per_class_accuracy,per_class_precision
0,0.98495,0.9918959986493331,0.9903910991233985
1,0.98495,0.9906555918125185,0.9916852264291017
2,0.98495,0.9845585767035918,0.9822505023442732
3,0.98495,0.980101125428152,0.9842751842751842
4,0.98495,0.9833960972269771,0.9842384786705499
5,0.98495,0.983766832687696,0.9846750369276218
6,0.98495,0.9901993916863805,0.9881956155143339
7,0.98495,0.9841979249800479,0.9852988175135826
8,0.98495,0.981541616817638,0.9791986359761295
9,0.98495,0.9784837787863506,0.9783193277310924
